班排,物化政,物化政队,班排,政史地,班排,语文,年排,年排,英语,年排,物理,年排,,
6,598,598,10,572,16,118,13,131,112,143,93,2,,
31,550,551,33,522,37,109,114,110,7,99,357,91,3,
32,545,547,34,529,35,108,132,66,1,174,10,270,81,18
50,437,455,49,478,49,102,296,424,80,S4S,44,,,
2,622,642,4,603,6,I1S,26,127,9,134,2,08,24,
40,525,525,38,504,44,107,155,98,186,105,250,82,14,
23,588,601,14,596,8,105,217,121,22,116,8,66,611,
S,602,620,6,599,7,114,33,117,31,128,9,81,18,
45,517,532,41,544,30,113,46,75,41,120,39,60,961,
38,520,521,40,513,41,103,132,83,355,104,261,78,32,
35,556,574,31,547,28,110,93,102,142,106,231,74,SS,
34,562,578,29,545,29,103,266,126,11,93,84,10,,
39,524,525,39,509,42,113,$6,88,289,114,0C1,71,76,
47,482,482,48,494,47,102,296,91,255,98,377,59,213,
16,584,600,17,574,15,112,60,112,59,112,143,73,60,
43,508,508,46,517,39,99,370,109,76,108,961,66,119,
24,563,563,28,558,20,114,33,113,S2,115,9,71,76,
36,537,539,37,515,40,98,1,383,116,36,9%6,406,78,32
27,538,540,36,523,36,96,43,91,255,120,42,82,14,
561,551,109,149,109,116,112,167,76,,,,,,
42,516,534,42,519,38,101,320,92,243,106,231,IL,76,
18,580,595,19,577,14,118,13,109,76,114,113,69,,
46,511,511,45,498,46,96,43,109,76,97,397,65,130,
41,514,515,43,504,45,97,412,100,160,EOI,284,67,106,
12,600,615,6,584,12,110,93,120,23,120,42,76,13,
7,606,624,5,582,13,120,6,116,36,117,82,8,14,
28,568,585,24,556,24,i11,77,101,123,115,101,2,田,
10,587,568,15,S71,17,106,186,120,23,9S,367,84,10,
26,567,567,25,539,31,116,22,105,118,123,2s,S7,6,
22,567,569,27,538,33,111,106,105,113,128,14,,,
20,561,580,30,553,26,26,96,204,103,289,80,2,,
13,601,617,7,587,11,118,13,94,225,132,3,80,2,
19,567,568,26,556,25,611,7,109,76,14S,73,09,,
4,631,649,3,614,3,122,137,2,127,13,71,76,,
9,595,596,12,592,6,116,22,116,36,119,49,8S,,
14,589,605,13,589,10,113,46,116,36,124,21,74,SS,
25,572,591,23,548,27,102,296,124,10,220,37,,,
48,512,512,44,493,48,102,296,06,266,106,20,78,32,
21,585,601,16,557,21,108,132,109,76,11S,85,,,
37,545,545,35,532,34,107,ISS,11$,47,99,74,S5,,
33,552,552,32,557,22,112,60,59,108,183,75,7,,
3,638,652,2,630,1,107,155,129,7,142,si,,,
49,408,406,50,399,50,97,8y,282,1,152,37,,,
15,584,599,18,569,18,106,186,113,S2,123,28,69,,
17,576,594,21,560,19,108,132,101,15,127,13,37,,
29,580,614,20,556,23,114,33,122,18,110,157,77,37,
1,642,655,1,621,2,103,266,150,IIS,95,,,,
44,491,491,47,505,43,106,186,101,123,102,32,326,,
11,596,611,11,605,5,113,6,123,17,11S,74,55,,
8,009,617,8,606,4,109,114,118,28,131,6,28,,
